Dirección,Ciudad y CP,Colecciones,Latitud,Longitud,Hub_Logístico,Superficie_Est
"luz del tajo - Av. DEL RIO BOLADIEZ, s/n c.ccial luz del tajo",Toledo 45007,Mujer+Niños,39.8558913,-4.024265,Madrid,Mediana (~400m²)
"RAMBLA, 81 BAJOS",Sabadell 08202,Hombre,41.5421013,2.1138977,Barcelona,Estándar (~250-300m²)
"CENTRO COMERCIALNUEVA CONDOMINA - AUTOVIA DEL MEDITERRANEO,",Murcia 30110,Niños,37.9923795,-1.1305431,Valencia,Estándar (~250-300m²)
CC INTU XANADÚ - Cr Nav V Km 23500 marg lz A,Arroyomolinos 28939,Niños,40.2729225,-3.9157978,Madrid,Estándar (~250-300m²)
PUERTO VENECIA - C.C.PUERTO VENECIA local:143,Zaragoza 50021,Mujer,41.6522319,-0.8810655,Zaragoza,Estándar (~250-300m²)
Puerto Venecia - C.C.PUERTO VENECIA local:107,Zaragoza 50021,Niños,41.6522319,-0.8810655,Zaragoza,Estándar (~250-300m²)
"Illa Diagonal - Av. DIAGONAL, 557 local: 3.33/3.34",Barcelona 08029,Niños,41.3754441,2.1489877,Barcelona,Estándar (~250-300m²)
"Illa Diagonal - Av. DIAGONAL, 557 local: 3.25",Barcelona 08029,Niños,41.3754441,2.1489877,Barcelona,Estándar (~250-300m²)
"C/SAN ELOY, 11",Sevilla 41001,Niños,37.3921924,-5.9960659,Sevilla,Estándar (~250-300m²)
"Rio Shopping - C/ME FALTA UN TORNILLO, 3",Valladolid 47195,Niños,41.6490455,-4.72581,Madrid,Estándar (~250-300m²)
"As Cancelas MANGO TEEN - Av. do camiño frances, 3",Santiago de Compostela 15703,Niños,42.8814573,-8.5459201,Santiago,Estándar (~250-300m²)
"Av.GRAN CAPITAN,18, L 3 y 1-G",Córdoba 14008,Niños,37.8845813,-4.7760138,Sevilla,Estándar (~250-300m²)
"calle MIGDIA, 4",Girona 17002,Niños,41.9794651,2.8167745,Barcelona,Estándar (~250-300m²)
"C/BISBE LORENZANA, 29",Girona 17002,Mujer+Hombre+Niños,41.9794651,2.8167745,Barcelona,Grande (~600-800m²)
"Gran Via - RUA DO MIRADOIRO, 2",Vigo 36210,Niños,42.220971,-8.7241312,Santiago,Estándar (~250-300m²)
"LaGavia - C/ADOLFO BIOY CASARES, 2",Madrid 28051,Niños,40.4237276,-3.6899043,Madrid,Estándar (~250-300m²)
"PASEO PERE III, 30",Manresa 08242,Hombre,41.7288939,1.8286765,Barcelona,Estándar (~250-300m²)
"C/SANTANDER, 21",Burgos 09004,Hombre,42.342236,-3.6996544,Bilbao,Estándar (~250-300m²)
"CC MARINEDA CITY - EST. BAÑOS DE ARTEIXO, 43",A Coruña 15008,Niños,43.3709703,-8.3959425,Santiago,Estándar (~250-300m²)
"La Illa Diagonal - AVENIDA DIAGONAL, 557",Barcelona 08029,Mujer,41.3754441,2.1489877,Barcelona,Estándar (~250-300m²)
"Rio Shopping - C/ME FALTA UN TORNILLO, 3",Valladolid 47195,Hombre,41.6490455,-4.72581,Madrid,Estándar (~250-300m²)
Miramar - Av. DE LA ENCARNACION s/n,Fuengirola 29640,Niños,36.5388398,-4.6233974,Málaga,Estándar (~250-300m²)
"Gran Via de Vigo - RUA MIRADOIRO, 2",Vigo 36210,Mujer+Niños,42.220971,-8.7241312,Santiago,Mediana (~400m²)
Gran Plaza - AV. DE ALICUN S/N L. 107-108,ROQUETAS DE MAR 04740,Mujer,36.7771777,-2.6081012,Málaga,Estándar (~250-300m²)
Islazul - C/CALDERILLA 1 L.T120-120A-121,Madrid 28054,Mujer+Hombre,40.4237276,-3.6899043,Madrid,Mediana (~400m²)
"Illa Diagonal - Av. Diagonal, 557, Local 2.52",Barcelona 08029,Hombre,41.3754441,2.1489877,Barcelona,Estándar (~250-300m²)
"Paseo del Espolón, 32",Burgos 09003,Mujer,42.3407801,-3.7007051,Bilbao,Estándar (~250-300m²)
Explanada de la estacion Vialia - Explanada de la estacion S/N,Málaga 29002,Mujer,36.7615185,-4.4748558,Málaga,Estándar (~250-300m²)
"C.C.NUEVA CONDOMINA - A-7,, Km. 760, Churra",Murcia 30110,Mujer+Hombre+Niños,37.9923795,-1.1305431,Valencia,Grande (~600-800m²)
"Loranca - Av. De Pablo Iglesias, 17",Fuenlabrada 28942,Mujer+Niños,40.3032759,-3.8320941,Madrid,Mediana (~400m²)
"Gran Via hortaleza - Calle Ayacucho, 6",Madrid 28043,Mujer+Hombre+Niños,40.4237276,-3.6899043,Madrid,Grande (~600-800m²)
PARQUE COMERCIAL ABADíA - Ctra. CM-4003 Toledo,Toledo 45003,Mujer+Niños,39.8390102,-4.0923588,Madrid,Mediana (~400m²)
"Parque Comercial Abadía MANGO MAN LOCAL 19 - Ctra. Madrid-Toledo, km 65 CM-4003",Toledo 45003,Hombre,39.8390102,-4.0923588,Madrid,Estándar (~250-300m²)
"C/SAN MARCIAL, 30",San Sebastián 20005,Niños,43.3187259,-1.9824923,Bilbao,Estándar (~250-300m²)
La Marina Finestrat - MANGO KIDS AV. PAIS VALENCIA,Finestrat 03509,Niños,38.5679236,-0.2122319,Valencia,Estándar (~250-300m²)
CENTRO COMERCIAL ZUBIARTE - Lehendakari Leizaola 2,Bilbao 48011,Mujer,43.2692319,-2.9319418,Bilbao,Estándar (~250-300m²)
Don Juan de Austria 38,Valencia 46002,Niños,39.4703586,-0.3728703,Valencia,Estándar (~250-300m²)
Getaria Kalea 11,San Sebastián 20005,Mujer,43.3187465,-1.9808681,Bilbao,Estándar (~250-300m²)
RB CATALUNYA 76,Barcelona 08008,Niños,41.3753594,2.1494898,Barcelona,Estándar (~250-300m²)
Sant Cugat del Vallés WOMAN - Av.DE LA VIA AUGUSTA 2-14,San Cugat del Vallés 08174,Mujer,41.4728432,2.0817809,Barcelona,Estándar (~250-300m²)
C.C. MALAGA LARIOS CENTRO - C.C. MALAGA Larios Centro,Málaga 29002,Mujer,36.7206482,-4.4215794,Málaga,Estándar (~250-300m²)
"CC LA MAQUINISTA - C/ de Potosí, 2 Local B 92-93-94 KIDS",Barcelona 08030,Niños,41.3752877,2.1495932,Barcelona,Estándar (~250-300m²)
"As Cancelas - Av.DO CAMIÑO FRANCÉS,3 L-1.28",Santiago de Compostela 15703,Mujer,42.8814573,-8.5459201,Santiago,Estándar (~250-300m²)
Dolce Vita Odeon SC - POL GANDARA s/n L.67-68 15570 NARON,Ferrol 15570,Mujer+Niños,43.4865037,-8.2282762,Santiago,Mediana (~400m²)
"plaza mayor - ALFONSO PONCE DE LEON, 2-3 L43",Málaga 29004,Mujer,36.7615185,-4.4748558,Málaga,Estándar (~250-300m²)
HONDARRIBIA 13 15,San Sebastián 20005,Niños,43.3167787,-1.9806864,Bilbao,Estándar (~250-300m²)
C.C. Miramar - AV.ENCARNACION S/N LOC A55-A56,Fuengirola 29640,Mujer+Hombre+Niños,36.5388398,-4.6233974,Málaga,Grande (~600-800m²)
VALLE REAL - C/ALDAY s/n,SANTANDER 39600,Mujer,43.4451942,-3.8396579,Bilbao,Estándar (~250-300m²)
"BERCEO - C/ LERIDA, 1, local L-103",Logroño 26006,Mujer,42.4584231,-2.4434074,Bilbao,Estándar (~250-300m²)
"XENERAL DO PARDIÑAS, 18",Santiago de Compostela 15701,Hombre,42.8751257,-8.5466898,Santiago,Estándar (~250-300m²)
Av. Libertad 2 L5 - HOMBRE,Murcia 30009,Hombre,37.9923795,-1.1305431,Valencia,Estándar (~250-300m²)
"C/ GOYA, 83",Madrid 28001,Niños,40.4273224,-3.6744732,Madrid,Estándar (~250-300m²)
"Caleido - PASEO DE LA CASTELLANA, 259 D,",Madrid 28046,Mujer,40.4768983,-3.6887596,Madrid,Estándar (~250-300m²)
SANT CUGAT CENTRE C. SC KIDS - AV.DE LA VIA AUGUSTA 2-14 KIDS L.32,San Cugat del Vallés 08174,Niños,41.4728432,2.0817809,Barcelona,Estándar (~250-300m²)
"RAMBLA CATALUNYA, 97",Barcelona 08008,Niños,41.3955548,2.1573225,Barcelona,Estándar (~250-300m²)
"Av. GRAN CAPITAN, 18",Córdoba 14008,Niños,37.887349,-4.7823062,Sevilla,Estándar (~250-300m²)
"CC URBIL - BO. TXIKI-ERDI, 7",San Sebastián 20170,Mujer,43.3224219,-1.9838889,Bilbao,Estándar (~250-300m²)
"PLAZA RIO 2 - C/ ANTONIO LOPEZ, 109 L. PA-07",Madrid 28026,Mujer,40.4237276,-3.6899043,Madrid,Estándar (~250-300m²)
Plaza del Rio 2 - Antonio Lopez 109 L. PA-11,Madrid 28026,Hombre,40.4237276,-3.6899043,Madrid,Estándar (~250-300m²)
"Calle Francisco Pizarro, 47",Almendralejo 06200,Mujer,38.682928,-6.4066876,Sevilla,Estándar (~250-300m²)
"El Ventanal de la Sierra - Calle Tejera, 2",MADRID 28770,Mujer+Niños,40.4237276,-3.6899043,Madrid,Mediana (~400m²)
El Rosal SC - Avenida de la Constitución s/n,PONFERRADA 24401,Mujer,42.5477801,-6.5994359,Santiago,Estándar (~250-300m²)
Camino de la Plata - Av.Castilla y Leon 22,Burgos 09006,Mujer+Niños,42.343926,-3.696977,Bilbao,Mediana (~400m²)
"PARQUE ASTUR - C/ PEDRERO, S/N",TRASONA 33468,Mujer+Hombre+Niños,43.5518736,-5.8742203,Santiago,Grande (~600-800m²)
Momentum Plaza - AV. MAGALLUF 14,Magaluf 07181,Mujer+Niños,39.5095681,2.535724,Palma,Mediana (~400m²)
Pasaje Comercio 9,LINARES 23700,Mujer,38.094838,-3.6352639,Málaga,Estándar (~250-300m²)
Ferial Plaza - Avda. Eduardo Guitián 13-19,Guadalajara 19002,Mujer+Hombre+Niños,40.7399963,-2.50593,Madrid,Grande (~600-800m²)
PLAZA CENTRAL CALPE - AV.DIPUTACION S/N,Calpe 03710,Mujer+Hombre+Niños,38.6443252,0.046012,Valencia,Grande (~600-800m²)
Rey Juan Carlos I 10,ELDA 03600,Mujer,38.4789671,-0.7956759,Valencia,Estándar (~250-300m²)
"SANT RAFEL, 35",Olot 17800,Niños,42.1811495,2.4865066,Barcelona,Estándar (~250-300m²)
"centro comercial COPO - Diseminado Ctra Almerimar, 35",EL EJIDO 04700,Mujer+Niños,36.7818683,-2.8144827,Málaga,Mediana (~400m²)
PLAZA ESPAÑA 7-A,Zafra 06300,Mujer,38.4232264,-6.4175104,Sevilla,Estándar (~250-300m²)
